,dataset,epsilon,percentage_poisoned,min_error,max_error,stddev,mean_error
0,RANDOM_POINTS,0.1111111111111111,0.0,0.030374223863064268,0.04358552631578947,0.003880748883603493,0.03458698226100425
1,RANDOM_POINTS,0.1111111111111111,0.1,0.028831814415907212,0.045045045045045036,0.0053922233229480344,0.034969744480161595
2,RANDOM_POINTS,0.1111111111111111,0.15,0.028018679119412943,0.042232277526395176,0.0051507885107316305,0.03484510256375182
3,RANDOM_POINTS,0.1111111111111111,0.2,0.030955139877503726,0.0420982292014701,0.004083316250357006,0.035726640609897116
4,RANDOM_POINTS,0.1111111111111111,0.25,0.02386872202884137,0.04008685485217972,0.004368749914767624,0.03184719248900072
